"titlelink","lengthnum","viewnum","text","coin","upload","uplink","tags","type"
"<a href='https://www.bilibili.com/video/BV1Rt411Y7dL' target='_blank'>重生之将门毒后</a>",3658,3279194,54451,121587,2018-12-22,"<a href='https://space.bilibili.com/10492799' target='_blank'>夷陵王祖贤</a>","吴磊,任嘉伦,胡歌,罗云熙,迪丽热巴,王俊凯,肖战,影视混剪,将门毒后,将门毒后重生之将门毒后,古装群像",TRUE
"<a href='https://www.bilibili.com/video/BV1Xb411p7yp' target='_blank'>重生之将门毒后</a>",11253,2401953,95551,103752,2019-04-03,"<a href='https://space.bilibili.com/10492799' target='_blank'>夷陵王祖贤</a>","吴磊,任嘉伦,胡歌,罗云熙,迪丽热巴,王俊凯,肖战,重生之将门毒后,谢景行,张芷溪",TRUE
"<a href='https://www.bilibili.com/video/BV1wE411v7UQ' target='_blank'>宫墙柳（超虐超长时长预警！/知乎小说《宫墙柳》同名原创曲/伪预告向真人剧情剪辑PV）【好看组原创】</a>",1200,2758397,10505,96642,2019-11-09,"<a href='https://space.bilibili.com/73794474' target='_blank'>好看的组</a>","原创歌曲,古风,国风音乐,宫墙柳,为什么后宫中的嫔妃一定要争宠？,2019年度音乐UP主选拔",FALSE
"<a href='https://www.bilibili.com/video/BV1Fb411C7Eb' target='_blank'>【吴磊×罗云熙】【双leo】――神话（20分钟超长  短腿儿爆肝出品）</a>",1292,678094,23311,78973,2019-02-02,"<a href='https://space.bilibili.com/5103072' target='_blank'>我是进击的小短腿儿</a>","吴磊,罗云熙,双leo,北极圈,圈地自萌",TRUE
"<a href='https://www.bilibili.com/video/BV1c4411z7KD' target='_blank'>【全剧情配音向电影|双LEO】二哈和他的白猫师尊 |吴磊x罗云熙|鹿晗/肖战/朱一龙/白敬亭/刘昊然/胡歌|</a>",2690,1085180,39970,71924,2019-08-28,"<a href='https://space.bilibili.com/12894008' target='_blank'>一根白腿毛</a>","吴磊,罗云熙,鹿晗,王俊凯,朱一龙,肖战,创作新秀奖,奥利奥,双LEO,二哈和他的白猫师尊,古装混剪",TRUE
"<a href='https://www.bilibili.com/video/BV15t411y7gK' target='_blank'>【全配音版已更新】【二哈和他的白猫师尊】真人剧情向剪辑上篇（下篇已更新） /  吴磊x罗云熙  [双leo]</a>",1798,2069217,36041,60478,2018-11-23,"<a href='https://space.bilibili.com/94545202' target='_blank'>兔子肖肖</a>","吴磊,罗云熙,影视剪辑,奥利奥,二哈和他的白猫师尊,古装剪辑",TRUE
"<a href='https://www.bilibili.com/video/BV1iT4y1379H' target='_blank'>【王者荣耀】真人版！100位英雄群像歌《百战成诗》超燃影视混剪</a>",391,869885,15539,55379,2020-05-03,"<a href='https://space.bilibili.com/93812372' target='_blank'>紫醉小迷兒</a>","陈晓,鞠婧祎,刘诗诗,刘亦菲,杨幂,罗云熙,朱一龙,影视混剪,王者荣耀,电子竞技,明星,群像,高燃",TRUE
"<a href='https://www.bilibili.com/video/BV1Yb411b7cA' target='_blank'>人渣反派自救系统 ‖ 吴磊×罗云熙（双Leo）剧情向</a>",345,680598,5066,54281,2019-03-01,"<a href='https://space.bilibili.com/34639805' target='_blank'>西木兮</a>","吴磊,罗云熙,小说,配音,奥利奥,人渣反派自救系统,渣反,剧情向",TRUE
"<a href='https://www.bilibili.com/video/BV1Ct411X73Z' target='_blank'>【全员男人！】神雕侠侣</a>",319,1231876,21595,49004,2018-12-01,"<a href='https://space.bilibili.com/313556' target='_blank'>逆转的桥</a>","霍建华,陈伟霆,吴磊,刘昊然,胡歌,罗云熙,易烊千玺,朱一龙",TRUE
"<a href='https://www.bilibili.com/video/BV1R4411v77Q' target='_blank'>【罗云熙×杨紫】【润玉×锦觅】前世未止的心跳</a>",1496,405749,17512,48322,2019-05-04,"<a href='https://space.bilibili.com/6100397' target='_blank'>跑掉的琴码</a>","锦觅,润玉,毛不易,香蜜沉沉烬如霜,杨紫,罗云熙,影视剪辑,锦玉,原创,严屹宽,金喜善",TRUE
